movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Brave,206000788.34812757,675781370.3977369,3.280479535135135,2012-06-22,,Drama,Lowladee Omolola Adeleke
Kong: Skull Island,192952615.0456919,567515225.788377,2.9412155189189186,2017-03-10,118.0,Action,Jordan Vogt-Roberts
Kong: Skull Island,192952615.0456919,567515225.788377,2.9412155189189186,2017-03-10,118.0,Adventure,Jordan Vogt-Roberts
Kong: Skull Island,192952615.0456919,567515225.788377,2.9412155189189186,2017-03-10,118.0,Fantasy,Jordan Vogt-Roberts
Star Trek Beyond,197063189.82363015,329841781.8707829,1.673786881081081,2016-07-22,122.0,Action,Justin Lin
Star Trek Beyond,197063189.82363015,329841781.8707829,1.673786881081081,2016-07-22,122.0,Adventure,Justin Lin
Star Trek Beyond,197063189.82363015,329841781.8707829,1.673786881081081,2016-07-22,122.0,Sci-Fi,Justin Lin
Blade Runner 2049,192952615.0456919,173565119.06216955,0.8995219837837838,2017-10-06,164.0,Drama,Denis Villeneuve
Blade Runner 2049,192952615.0456919,173565119.06216955,0.8995219837837838,2017-10-06,164.0,Mystery,Denis Villeneuve
Blade Runner 2049,192952615.0456919,173565119.06216955,0.8995219837837838,2017-10-06,164.0,Sci-Fi,Denis Villeneuve
Aladdin,182000000.0,683968628.0,3.7580693846153848,2019-05-24,128.0,Adventure,Guy Ritchie
Aladdin,182000000.0,683968628.0,3.7580693846153848,2019-05-24,128.0,Comedy,Guy Ritchie
Aladdin,182000000.0,683968628.0,3.7580693846153848,2019-05-24,128.0,Family,Guy Ritchie
Aladdin,182000000.0,683968628.0,3.7580693846153848,2019-05-24,,Fantasy,Bob Golding
Thor: Ragnarok,187737679.50391644,1024253300.369782,5.455768405555554,2017-11-03,130.0,Action,Taika Waititi
Thor: Ragnarok,187737679.50391644,1024253300.369782,5.455768405555554,2017-11-03,130.0,Adventure,Taika Waititi
Thor: Ragnarok,187737679.50391644,1024253300.369782,5.455768405555554,2017-11-03,130.0,Comedy,Taika Waititi
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",235628571.4285714,1089455573.4385715,4.6236140500000005,2005-12-09,,,
Maleficent,194386405.10948905,885477659.9857692,4.555244794444445,2014-05-30,97.0,Action,Robert Stromberg
Maleficent,194386405.10948905,885477659.9857692,4.555244794444445,2014-05-30,97.0,Adventure,Robert Stromberg
Maleficent,194386405.10948905,885477659.9857692,4.555244794444445,2014-05-30,97.0,Family,Robert Stromberg
Fantastic Beasts and Where to Find Them,191737157.66623473,912285852.0842977,4.758002377777778,2016-11-18,132.0,Adventure,David Yates
Fantastic Beasts and Where to Find Them,191737157.66623473,912285852.0842977,4.758002377777778,2016-11-18,132.0,Family,David Yates
Fantastic Beasts and Where to Find Them,191737157.66623473,912285852.0842977,4.758002377777778,2016-11-18,132.0,Fantasy,David Yates
WALL-E,213737198.27406028,684334486.42691,3.201756605555556,2008-06-27,,,
Rush Hour 3,221943745.1167636,267210220.0010128,1.2039547222222222,2007-08-10,,,
The Legend of Tarzan,191737157.66623473,314816526.39923835,1.6419171444444445,2016-07-01,110.0,Action,David Yates
The Legend of Tarzan,191737157.66623473,314816526.39923835,1.6419171444444445,2016-07-01,110.0,Adventure,David Yates
The Legend of Tarzan,191737157.66623473,314816526.39923835,1.6419171444444445,2016-07-01,110.0,Drama,David Yates
Hugo,204581064.19962746,84005861.9456253,0.4106238388888891,2011-11-23,126.0,Adventure,Martin Scorsese
Hugo,204581064.19962746,84005861.9456253,0.4106238388888891,2011-11-23,126.0,Drama,Martin Scorsese
Hugo,204581064.19962746,84005861.9456253,0.4106238388888891,2011-11-23,126.0,Family,Martin Scorsese
Hugo,204581064.19962746,84005861.9456253,0.4106238388888891,2011-11-23,80.0,Documentary,Wojciech Klimala
Valerian and the City of a Thousand Planets,187737679.50391644,78826593.89679343,0.4198762555555557,2017-07-21,137.0,Action,Luc Besson
Valerian and the City of a Thousand Planets,187737679.50391644,78826593.89679343,0.4198762555555557,2017-07-21,137.0,Adventure,Luc Besson
Valerian and the City of a Thousand Planets,187737679.50391644,78826593.89679343,0.4198762555555557,2017-07-21,137.0,Fantasy,Luc Besson
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Action,Lilly Wachowski
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Action,Lana Wachowski
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Adventure,Lilly Wachowski
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Adventure,Lana Wachowski
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Sci-Fi,Lilly Wachowski
Jupiter Ascending,193077302.47197458,54433817.91165194,0.2819275865921789,2015-02-06,127.0,Sci-Fi,Lana Wachowski
Mission: ImpossibleâFallout,181225318.29060918,844648097.2891715,4.66076211235955,2018-07-27,,,
X-Men: Apocalypse,189606744.80327657,553886077.5227181,2.921236151685393,2016-05-27,144.0,Action,Bryan Singer
X-Men: Apocalypse,189606744.80327657,553886077.5227181,2.921236151685393,2016-05-27,144.0,Adventure,Bryan Singer
X-Men: Apocalypse,189606744.80327657,553886077.5227181,2.921236151685393,2016-05-27,144.0,Sci-Fi,Bryan Singer
The Meg,181225318.29060918,505979517.70858234,2.791991331460674,2018-08-10,113.0,Action,Jon Turteltaub
The Meg,181225318.29060918,505979517.70858234,2.791991331460674,2018-08-10,113.0,Horror,Jon Turteltaub
The Meg,181225318.29060918,505979517.70858234,2.791991331460674,2018-08-10,113.0,Sci-Fi,Jon Turteltaub
Edge of Tomorrow,192226556.16382807,316145202.5690389,1.6446489438202245,2014-06-06,113.0,Action,Doug Liman
Edge of Tomorrow,192226556.16382807,316145202.5690389,1.6446489438202245,2014-06-06,113.0,Sci-Fi,Doug Liman
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Action,Ryan Fleck
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Action,Anna Boden
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Adventure,Ryan Fleck
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Adventure,Anna Boden
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Sci-Fi,Ryan Fleck
Captain Marvel,175000000.0,1374587502.0,7.854785725714286,2019-03-08,123.0,Sci-Fi,Anna Boden
The Jungle Book,186411125.5088393,1226964067.8196468,6.5820324,2016-04-15,64.0,Animation,Jun Falkenstein
The Jungle Book,186411125.5088393,1226964067.8196468,6.5820324,2016-04-15,64.0,Animation,Kevin Johnson
The Jungle Book,186411125.5088393,1226964067.8196468,6.5820324,2016-04-15,106.0,Adventure,Jon Favreau
The Jungle Book,186411125.5088393,1226964067.8196468,6.5820324,2016-04-15,106.0,Drama,Jon Favreau
The Jungle Book,186411125.5088393,1226964067.8196468,6.5820324,2016-04-15,106.0,Family,Jon Favreau
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,93.0,Crime,Artie Mandelberg
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,93.0,Drama,Artie Mandelberg
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,74.0,Documentary,Vaggelis Rigas
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,,Drama,Nasir Rahim
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,59.0,Family,
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Adventure,Pete Docter
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Adventure,Ronnie Del Carmen
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Animation,Pete Docter
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Animation,Ronnie Del Carmen
